run,type,module,name,attrname,attrvalue,value
SCRLE-0-20200622-22:02:28-4038,runattr,,,configname,SCRLE,
SCRLE-0-20200622-22:02:28-4038,runattr,,,datetime,20200622-22:02:28,
SCRLE-0-20200622-22:02:28-4038,runattr,,,experiment,SCRLE,
SCRLE-0-20200622-22:02:28-4038,runattr,,,inifile,omnetpp.ini,
SCRLE-0-20200622-22:02:28-4038,runattr,,,iterationvars,,
SCRLE-0-20200622-22:02:28-4038,runattr,,,iterationvarsf,,
SCRLE-0-20200622-22:02:28-4038,runattr,,,measurement,,
SCRLE-0-20200622-22:02:28-4038,runattr,,,network,ned.Network,
SCRLE-0-20200622-22:02:28-4038,runattr,,,processid,4038,
SCRLE-0-20200622-22:02:28-4038,runattr,,,repetition,0,
SCRLE-0-20200622-22:02:28-4038,runattr,,,replication,#0,
SCRLE-0-20200622-22:02:28-4038,runattr,,,resultdir,results,
SCRLE-0-20200622-22:02:28-4038,runattr,,,runnumber,0,
SCRLE-0-20200622-22:02:28-4038,runattr,,,seedset,0,
SCRLE-0-20200622-22:02:28-4038,param,,,**.**.applType,"""SCRLE""",
SCRLE-0-20200622-22:02:28-4038,param,,,*.V[*].appl.speed,22mps,
SCRLE-0-20200622-22:02:28-4038,param,,,*.V[*].appl.plist_Interval,0.5s,
SCRLE-0-20200622-22:02:28-4038,param,,,*.V[*].appl.beacon_Interval,1s,
SCRLE-0-20200622-22:02:28-4038,param,,,*.V[*].appl.message_Lost,0.07,
SCRLE-0-20200622-22:02:28-4038,param,,,*.playgroundSizeX,25000m,
SCRLE-0-20200622-22:02:28-4038,param,,,*.playgroundSizeY,25000m,
SCRLE-0-20200622-22:02:28-4038,param,,,*.playgroundSizeZ,50m,
SCRLE-0-20200622-22:02:28-4038,param,,,*.annotations.draw,true,
SCRLE-0-20200622-22:02:28-4038,param,,,*.obstacles.obstacles,"xmldoc(""sumo/config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",
SCRLE-0-20200622-22:02:28-4038,param,,,Network.manager.updateInterval,1s,
SCRLE-0-20200622-22:02:28-4038,param,,,Network.manager.host,"""localhost""",
SCRLE-0-20200622-22:02:28-4038,param,,,Network.manager.port,9999,
SCRLE-0-20200622-22:02:28-4038,param,,,Network.manager.moduleType,"""ned.VNode""",
SCRLE-0-20200622-22:02:28-4038,param,,,Network.manager.moduleName,"""V""",
SCRLE-0-20200622-22:02:28-4038,param,,,Network.manager.moduleDisplayString,"""""",
SCRLE-0-20200622-22:02:28-4038,param,,,Network.manager.autoShutdown,true,
SCRLE-0-20200622-22:02:28-4038,param,,,Network.manager.margin,25,
SCRLE-0-20200622-22:02:28-4038,param,,,Network.manager.launchConfig,"xmldoc(""sumo/erlangen.launchd.xml"")",
SCRLE-0-20200622-22:02:28-4038,param,,,*.connectionManager.sendDirect,true,
SCRLE-0-20200622-22:02:28-4038,param,,,*.connectionManager.maxInterfDist,2600m,
SCRLE-0-20200622-22:02:28-4038,param,,,*.connectionManager.drawMaxIntfDist,false,
SCRLE-0-20200622-22:02:28-4038,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
SCRLE-0-20200622-22:02:28-4038,param,,,*.**.nic.mac1609_4.txPower,20mW,
SCRLE-0-20200622-22:02:28-4038,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
SCRLE-0-20200622-22:02:28-4038,param,,,*.**.nic.phy80211p.minPowerLevel,-110dBm,
SCRLE-0-20200622-22:02:28-4038,param,,,*.**.nic.phy80211p.useNoiseFloor,true,
SCRLE-0-20200622-22:02:28-4038,param,,,*.**.nic.phy80211p.noiseFloor,-98dBm,
SCRLE-0-20200622-22:02:28-4038,param,,,*.**.nic.phy80211p.decider,"xmldoc(""sumo/config.xml"")",
SCRLE-0-20200622-22:02:28-4038,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""sumo/config.xml"")",
SCRLE-0-20200622-22:02:28-4038,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
SCRLE-0-20200622-22:02:28-4038,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""sumo/antenna.xml"", ""/root/Antenna[@id='monopole']"")",
SCRLE-0-20200622-22:02:28-4038,param,,,Network.numCA,1,
SCRLE-0-20200622-22:02:28-4038,param,,,Network.numRSU,1,
SCRLE-0-20200622-22:02:28-4038,param,,,Network.numV,0,
SCRLE-0-20200622-22:02:28-4038,param,,,**.applType,"""VAppl""",
SCRLE-0-20200622-22:02:28-4038,param,,,**.appl.headerLength,18400 bit,
