run,type,module,name,attrname,attrvalue,value
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,configname,C2CEpidemic,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,datetime,20200620-01:43:33,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,experiment,C2CEpidemic,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,inifile,omnetpp.ini,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,iterationvars,,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,iterationvarsf,,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,measurement,,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,network,ned.Network,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,processid,19877,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,repetition,0,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,replication,#0,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,resultdir,results,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,runnumber,0,
C2CEpidemic-0-20200620-01:43:33-19877,runattr,,,seedset,0,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,**.**.applType,"""C2C_Epidemic""",
C2CEpidemic-0-20200620-01:43:33-19877,param,,,.V[*].appl.speed,22mps,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,*.V[*].appl.plist_Interval,0.5s,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,*.V[*].appl.beacon_Interval,1s,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,*.V[*].appl.message_Lost,0.06,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,*.playgroundSizeX,25000m,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,*.playgroundSizeY,25000m,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,*.playgroundSizeZ,50m,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,*.annotations.draw,true,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,*.obstacles.obstacles,"xmldoc(""sumo/config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",
C2CEpidemic-0-20200620-01:43:33-19877,param,,,Network.manager.updateInterval,1s,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,Network.manager.host,"""localhost""",
C2CEpidemic-0-20200620-01:43:33-19877,param,,,Network.manager.port,9999,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,Network.manager.moduleType,"""ned.VNode""",
C2CEpidemic-0-20200620-01:43:33-19877,param,,,Network.manager.moduleName,"""V""",
C2CEpidemic-0-20200620-01:43:33-19877,param,,,Network.manager.moduleDisplayString,"""""",
C2CEpidemic-0-20200620-01:43:33-19877,param,,,Network.manager.autoShutdown,true,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,Network.manager.margin,25,
C2CEpidemic-0-20200620-01:43:33-19877,param,,,Network.manager.launchConfig,"xmldoc(""sumo/erlangen.launchd.xml"")",
C2CEpidemic-0-20200620-01:43:33-19877,param,,,*.connectionManager.sendDirect,true,
