run,type,module,name,attrname,attrvalue,value
SCRLE-0-20200622-20:23:20-3180,runattr,,,configname,SCRLE,
SCRLE-0-20200622-20:23:20-3180,runattr,,,datetime,20200622-20:23:20,
SCRLE-0-20200622-20:23:20-3180,runattr,,,experiment,SCRLE,
SCRLE-0-20200622-20:23:20-3180,runattr,,,inifile,omnetpp.ini,
SCRLE-0-20200622-20:23:20-3180,runattr,,,iterationvars,,
SCRLE-0-20200622-20:23:20-3180,runattr,,,iterationvarsf,,
SCRLE-0-20200622-20:23:20-3180,runattr,,,measurement,,
SCRLE-0-20200622-20:23:20-3180,runattr,,,network,ned.Network,
SCRLE-0-20200622-20:23:20-3180,runattr,,,processid,3180,
SCRLE-0-20200622-20:23:20-3180,runattr,,,repetition,0,
SCRLE-0-20200622-20:23:20-3180,runattr,,,replication,#0,
SCRLE-0-20200622-20:23:20-3180,runattr,,,resultdir,results,
SCRLE-0-20200622-20:23:20-3180,runattr,,,runnumber,0,
SCRLE-0-20200622-20:23:20-3180,runattr,,,seedset,0,
SCRLE-0-20200622-20:23:20-3180,param,,,**.**.applType,"""SCRLE""",
SCRLE-0-20200622-20:23:20-3180,param,,,*.V[*].appl.speed,22mps,
SCRLE-0-20200622-20:23:20-3180,param,,,*.V[*].appl.plist_Interval,0.5s,
SCRLE-0-20200622-20:23:20-3180,param,,,*.V[*].appl.beacon_Interval,1s,
SCRLE-0-20200622-20:23:20-3180,param,,,*.V[*].appl.message_Lost,0.07,
SCRLE-0-20200622-20:23:20-3180,param,,,*.playgroundSizeX,25000m,
SCRLE-0-20200622-20:23:20-3180,param,,,*.playgroundSizeY,25000m,
SCRLE-0-20200622-20:23:20-3180,param,,,*.playgroundSizeZ,50m,
SCRLE-0-20200622-20:23:20-3180,param,,,*.annotations.draw,true,
SCRLE-0-20200622-20:23:20-3180,param,,,*.obstacles.obstacles,"xmldoc(""sumo/config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",
